filename,pipeline,scale,blur_kernel,noise_sigma,jpeg_quality
image_0016.png,LR_06_realistic,4,7.0,7.255117642269164,66.0
image_0018.png,LR_01_resize,4,,,
image_0018.png,LR_02_blur_resize,4,7.0,,
image_0018.png,LR_03_resize_noise,4,,6.571773194312388,
image_0018.png,LR_04_blur_resize_jpeg,4,7.0,,56.0
image_0018.png,LR_05_resize_noise_jpeg,4,,7.223111419020602,69.0
image_0018.png,LR_06_realistic,4,7.0,5.045977291865805,62.0
image_0005.jpg,LR_01_resize,4,,,
image_0005.jpg,LR_02_blur_resize,4,3.0,,
image_0005.jpg,LR_03_resize_noise,4,,4.243483115546888,
image_0005.jpg,LR_04_blur_resize_jpeg,4,3.0,,84.0
image_0005.jpg,LR_05_resize_noise_jpeg,4,,7.720998485921017,83.0
image_0005.jpg,LR_06_realistic,4,3.0,5.593667506761374,81.0
image_0019.png,LR_01_resize,4,,,
image_0019.png,LR_02_blur_resize,4,3.0,,
image_0019.png,LR_03_resize_noise,4,,2.6712063519253704,
image_0019.png,LR_04_blur_resize_jpeg,4,5.0,,69.0
image_0019.png,LR_05_resize_noise_jpeg,4,,3.436713862028353,65.0
image_0019.png,LR_06_realistic,4,7.0,7.6816966717879644,55.0
image_0020.png,LR_01_resize,4,,,
image_0020.png,LR_02_blur_resize,4,7.0,,
image_0020.png,LR_03_resize_noise,4,,4.915942779899683,
image_0020.png,LR_04_blur_resize_jpeg,4,3.0,,84.0
image_0020.png,LR_05_resize_noise_jpeg,4,,6.595006575841927,58.0
image_0020.png,LR_06_realistic,4,7.0,4.851694268592388,85.0
image_0021.png,LR_01_resize,4,,,
image_0021.png,LR_02_blur_resize,4,3.0,,
image_0021.png,LR_03_resize_noise,4,,3.5903397736403546,
image_0021.png,LR_04_blur_resize_jpeg,4,7.0,,77.0
image_0021.png,LR_05_resize_noise_jpeg,4,,7.786177436044731,84.0
image_0021.png,LR_06_realistic,4,7.0,6.139205792597728,69.0
image_0017.png,LR_01_resize,4,,,
image_0017.png,LR_02_blur_resize,4,5.0,,
image_0017.png,LR_03_resize_noise,4,,7.970896139965368,
image_0017.png,LR_04_blur_resize_jpeg,4,7.0,,73.0
image_0017.png,LR_05_resize_noise_jpeg,4,,4.628600503487024,83.0
image_0017.png,LR_06_realistic,4,5.0,2.7260251752095943,64.0
